,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
920,920,0,0,"[0.3978944718837738, 0.15684889256954193, 0.14994588494300842, 0.14431579411029816, 0.0745093896985054, 0.07648555189371109]","[0.2624107301235199, 0.201299786567688, 0.1295594871044159, 0.15392901003360748, 0.12220337986946106, 0.13059768080711365]",0
921,921,5,4,"[0.019752878695726395, 0.13734842836856842, 0.1013711616396904, 0.22707295417785645, 0.2096380740404129, 0.30481648445129395]","[0.03480556607246399, 0.19535702466964722, 0.09591161459684372, 0.20528817176818848, 0.25370070338249207, 0.21493691205978394]",3
922,922,5,1,"[0.025559404864907265, 0.13283735513687134, 0.09827633947134018, 0.21512801945209503, 0.21716542541980743, 0.3110334277153015]","[0.12071939557790756, 0.21826641261577606, 0.14333371818065643, 0.19194796681404114, 0.15154334902763367, 0.17418918013572693]",5
923,923,5,1,"[0.01743173785507679, 0.13286463916301727, 0.08542900532484055, 0.1965261548757553, 0.23857516050338745, 0.32917320728302]","[0.08544296026229858, 0.2940642535686493, 0.25855258107185364, 0.20208410918712616, 0.10459823161363602, 0.055257875472307205]",3
924,924,5,4,"[0.02621328830718994, 0.15310145914554596, 0.08715526759624481, 0.18265189230442047, 0.2140839844942093, 0.33679407835006714]","[0.00806412473320961, 0.1025690883398056, 0.07894716411828995, 0.22907927632331848, 0.35276496410369873, 0.22857533395290375]",4
925,925,5,3,"[0.034036196768283844, 0.17087912559509277, 0.15268419682979584, 0.17673860490322113, 0.20019078254699707, 0.26547107100486755]","[0.08150061219930649, 0.16889207065105438, 0.22722092270851135, 0.23620928823947906, 0.19018201529979706, 0.09599515795707703]",5
926,926,3,3,"[0.03561151772737503, 0.12542356550693512, 0.15343604981899261, 0.24128559231758118, 0.21364706754684448, 0.23059624433517456]","[0.052668724209070206, 0.18315041065216064, 0.28627899289131165, 0.31114834547042847, 0.13334506750106812, 0.0334085114300251]",3
927,927,5,3,"[0.02042396366596222, 0.14005398750305176, 0.06929420679807663, 0.1902039647102356, 0.21120238304138184, 0.36882147192955017]","[0.039008624851703644, 0.19474026560783386, 0.14610812067985535, 0.23234090209007263, 0.19112074375152588, 0.19668139517307281]",4
928,928,3,3,"[0.011568024754524231, 0.06944107264280319, 0.10145610570907593, 0.30097052454948425, 0.2512669861316681, 0.2652972638607025]","[0.004909219685941935, 0.07925838977098465, 0.08516440540552139, 0.31783637404441833, 0.31416600942611694, 0.19866563379764557]",4
929,929,5,5,"[0.01898990571498871, 0.14441750943660736, 0.09676985442638397, 0.21261060237884521, 0.23185867071151733, 0.29535341262817383]","[0.013670966029167175, 0.14862890541553497, 0.059090644121170044, 0.14897878468036652, 0.2827010750770569, 0.3469296395778656]",4
930,930,5,1,"[0.009671947918832302, 0.19129659235477448, 0.07278387993574142, 0.15375402569770813, 0.14026211202144623, 0.43223145604133606]","[0.07447082549333572, 0.32862937450408936, 0.2164396345615387, 0.1723662167787552, 0.09939990937709808, 0.10869398713111877]",1
931,931,5,4,"[0.026722963899374008, 0.12456364929676056, 0.091966412961483, 0.27034321427345276, 0.18854846060276031, 0.29785531759262085]","[0.00562549103051424, 0.09580592811107635, 0.06308082491159439, 0.21520918607711792, 0.31456345319747925, 0.30571508407592773]",3
932,932,5,1,"[0.022711865603923798, 0.15880422294139862, 0.08722731471061707, 0.1597495824098587, 0.17959725856781006, 0.39190971851348877]","[0.0966547355055809, 0.23445597290992737, 0.18043005466461182, 0.2102244347333908, 0.16264288127422333, 0.11559198796749115]",2
933,933,5,3,"[0.047041844576597214, 0.14822326600551605, 0.10728475451469421, 0.16749882698059082, 0.18559028208255768, 0.34436100721359253]","[0.09861110895872116, 0.22309961915016174, 0.20052272081375122, 0.2250339835882187, 0.13288423418998718, 0.11984833329916]",1
934,934,5,4,"[0.02223564125597477, 0.20930741727352142, 0.0898057147860527, 0.17763584852218628, 0.22053928673267365, 0.28047606348991394]","[0.004892551340162754, 0.09422478079795837, 0.05801747366786003, 0.20724692940711975, 0.3431253731250763, 0.2924928665161133]",5
935,935,5,5,"[0.019082628190517426, 0.14346843957901, 0.09723693877458572, 0.22620101273059845, 0.19949136674404144, 0.31451961398124695]","[0.027741689234972, 0.2126930058002472, 0.09188096970319748, 0.17167603969573975, 0.21691595017910004, 0.27909234166145325]",4
936,936,5,1,"[0.03661894053220749, 0.20642292499542236, 0.11191555112600327, 0.190560445189476, 0.16602931916713715, 0.2884528636932373]","[0.11532298475503922, 0.30971479415893555, 0.18731039762496948, 0.17345421016216278, 0.10667362064123154, 0.10752401500940323]",5
937,937,5,4,"[0.010643132030963898, 0.12488806992769241, 0.07607467472553253, 0.19638943672180176, 0.26258087158203125, 0.32942384481430054]","[0.010557976551353931, 0.15143835544586182, 0.07189591974020004, 0.19279006123542786, 0.31343141198158264, 0.2598862648010254]",4
938,938,5,5,"[0.047247570008039474, 0.18067580461502075, 0.09277011454105377, 0.1801835149526596, 0.12887389957904816, 0.3702491223812103]","[0.017358731478452682, 0.1477327197790146, 0.10914649069309235, 0.21255184710025787, 0.23419955372810364, 0.2790106236934662]",4
939,939,5,3,"[0.02240476943552494, 0.10231571644544601, 0.11094333976507187, 0.1916106641292572, 0.23750826716423035, 0.3352172076702118]","[0.03384026512503624, 0.12257371097803116, 0.1931111365556717, 0.23403625190258026, 0.22075910866260529, 0.19567960500717163]",5
940,940,5,4,"[0.016045214608311653, 0.11186696588993073, 0.09630946069955826, 0.25311779975891113, 0.2357797622680664, 0.286880761384964]","[0.005290410481393337, 0.08529920876026154, 0.06072942167520523, 0.2580243945121765, 0.32822635769844055, 0.26243022084236145]",4
941,941,5,3,"[0.0522889643907547, 0.1725449115037918, 0.12546369433403015, 0.21648858487606049, 0.16233326494693756, 0.2708805799484253]","[0.06442009657621384, 0.23759250342845917, 0.1888609230518341, 0.24590648710727692, 0.15146559476852417, 0.111754409968853]",2
942,942,3,1,"[0.012325827963650227, 0.10324542969465256, 0.08941905945539474, 0.2812328040599823, 0.26471444964408875, 0.24906238913536072]","[0.051179055124521255, 0.2494438737630844, 0.08287537097930908, 0.20068319141864777, 0.20452700555324554, 0.21129155158996582]",5
943,943,5,3,"[0.02973174676299095, 0.1537666916847229, 0.137541264295578, 0.21700210869312286, 0.21836066246032715, 0.24359755218029022]","[0.042924679815769196, 0.22333882749080658, 0.15252484381198883, 0.2285531461238861, 0.20943668484687805, 0.14322179555892944]",3
944,944,3,3,"[0.022664282470941544, 0.11379959434270859, 0.12524786591529846, 0.271557480096817, 0.20491629838943481, 0.26181453466415405]","[0.02607053704559803, 0.16103513538837433, 0.23840907216072083, 0.2916475534439087, 0.17576122283935547, 0.10707651078701019]",3
945,945,5,4,"[0.02276751399040222, 0.10723884403705597, 0.076655812561512, 0.26937606930732727, 0.23731783032417297, 0.286643922328949]","[0.002017549704760313, 0.04039376974105835, 0.02617492713034153, 0.1573484092950821, 0.3878231346607208, 0.3862421214580536]",4
946,946,2,1,"[0.026908213272690773, 0.24671632051467896, 0.2540002167224884, 0.2089543342590332, 0.05037584900856018, 0.21304510533809662]","[0.027560340240597725, 0.34868890047073364, 0.24659933149814606, 0.21507197618484497, 0.07695259898900986, 0.08512686938047409]",4
947,947,1,2,"[0.1334751397371292, 0.2563118636608124, 0.16388796269893646, 0.13223375380039215, 0.09042412787675858, 0.22366714477539062]","[0.21825647354125977, 0.2227063924074173, 0.2813013195991516, 0.20268389582633972, 0.057869803160429, 0.017182089388370514]",1
948,948,3,3,"[0.00943673588335514, 0.058453723788261414, 0.10193783789873123, 0.3148159682750702, 0.22725996375083923, 0.2880956828594208]","[0.004592659417539835, 0.0535472147166729, 0.11706157773733139, 0.4230280816555023, 0.24280688166618347, 0.15896359086036682]",4
949,949,5,4,"[0.011530587449669838, 0.09833244979381561, 0.08403941988945007, 0.2413650006055832, 0.2494412511587143, 0.31529125571250916]","[0.00945831835269928, 0.13102871179580688, 0.13840658962726593, 0.2606094181537628, 0.2615302503108978, 0.19896672666072845]",5
950,950,5,1,"[0.028031930327415466, 0.1804937720298767, 0.1184525117278099, 0.20565691590309143, 0.19145998358726501, 0.27590495347976685]","[0.04292289912700653, 0.22626110911369324, 0.11249001324176788, 0.18002109229564667, 0.21417732536792755, 0.22412753105163574]",3
951,951,5,1,"[0.05742877349257469, 0.15633602440357208, 0.10408350080251694, 0.24086488783359528, 0.17325478792190552, 0.2680320143699646]","[0.15464608371257782, 0.2351282835006714, 0.22851446270942688, 0.19397683441638947, 0.10955101251602173, 0.07818326354026794]",3
952,952,5,3,"[0.03211071342229843, 0.18873468041419983, 0.12081507593393326, 0.20199376344680786, 0.16248032450675964, 0.2938653826713562]","[0.021926943212747574, 0.19411857426166534, 0.14389453828334808, 0.22319816052913666, 0.19907315075397491, 0.21778859198093414]",2
953,953,5,3,"[0.021704846993088722, 0.11101629585027695, 0.07210038602352142, 0.22994576394557953, 0.2403479814529419, 0.3248847723007202]","[0.0561797171831131, 0.18134744465351105, 0.14301598072052002, 0.29401934146881104, 0.1929471343755722, 0.132490336894989]",4
954,954,5,3,"[0.004013714846223593, 0.08565348386764526, 0.03953075408935547, 0.29511281847953796, 0.26392635703086853, 0.31176283955574036]","[0.017092691734433174, 0.20835159718990326, 0.14562906324863434, 0.3233596682548523, 0.19202247262001038, 0.11354459822177887]",5
955,955,5,4,"[0.035310640931129456, 0.15430223941802979, 0.0844399705529213, 0.19313600659370422, 0.21574775874614716, 0.3170633316040039]","[0.022084353491663933, 0.12149123102426529, 0.15411581099033356, 0.2537367641925812, 0.27183759212493896, 0.17673428356647491]",4
956,956,5,5,"[0.01730823703110218, 0.06188464164733887, 0.08705227077007294, 0.19403141736984253, 0.2958427369594574, 0.34388065338134766]","[0.025548230856657028, 0.196898952126503, 0.11801302433013916, 0.22489796578884125, 0.2089087963104248, 0.22573305666446686]",3
957,957,5,4,"[0.009007581509649754, 0.06948322802782059, 0.10477925837039948, 0.23829808831214905, 0.2831553518772125, 0.2952765226364136]","[0.017822662368416786, 0.12397336959838867, 0.15838924050331116, 0.2507617473602295, 0.2593788206577301, 0.18967415392398834]",4
958,958,3,3,"[0.07922138273715973, 0.11007601767778397, 0.15934507548809052, 0.2886353135108948, 0.170419380068779, 0.19230280816555023]","[0.07420732080936432, 0.1681651920080185, 0.20820070803165436, 0.26566269993782043, 0.16816240549087524, 0.11560165882110596]",1
959,959,5,3,"[0.035173553973436356, 0.11865543574094772, 0.0787186473608017, 0.22023844718933105, 0.18621917068958282, 0.36099475622177124]","[0.0694461241364479, 0.18719881772994995, 0.22007973492145538, 0.286080539226532, 0.14888475835323334, 0.08830998837947845]",5
960,960,5,3,"[0.1803601086139679, 0.18196550011634827, 0.1316489428281784, 0.1595982015132904, 0.12442435324192047, 0.22200283408164978]","[0.17499414086341858, 0.19482342898845673, 0.165119007229805, 0.19637812674045563, 0.13706783950328827, 0.1316175013780594]",1
961,961,5,1,"[0.030464116483926773, 0.11649012565612793, 0.12171449512243271, 0.248445063829422, 0.2271960824728012, 0.2556900680065155]","[0.2582560181617737, 0.3090443015098572, 0.20947401225566864, 0.15639856457710266, 0.05119051784276962, 0.015636544674634933]",2
962,962,5,2,"[0.033746737986803055, 0.19339725375175476, 0.10846181213855743, 0.18681928515434265, 0.17092205584049225, 0.30665287375450134]","[0.12596395611763, 0.23240549862384796, 0.25103339552879333, 0.20601892471313477, 0.11386511474847794, 0.07071313261985779]",3
963,963,5,3,"[0.03004300408065319, 0.17496654391288757, 0.09441698342561722, 0.17307551205158234, 0.1832910031080246, 0.34420692920684814]","[0.06481584906578064, 0.21384307742118835, 0.20286642014980316, 0.22007311880588531, 0.15756139159202576, 0.14084011316299438]",2
964,964,3,3,"[0.023849302902817726, 0.25188666582107544, 0.10627090185880661, 0.33313921093940735, 0.13510604202747345, 0.14974787831306458]","[0.030487535521388054, 0.25823527574539185, 0.14309825003147125, 0.2765384316444397, 0.16393376886844635, 0.12770672142505646]",1
965,965,5,5,"[0.01441696472465992, 0.13216908276081085, 0.07968364655971527, 0.19736839830875397, 0.2108941525220871, 0.36546769738197327]","[0.03248057886958122, 0.1894804984331131, 0.10996442288160324, 0.1903587430715561, 0.2385469675064087, 0.23916873335838318]",4
966,966,5,5,"[0.01648055948317051, 0.11855442076921463, 0.0792958065867424, 0.20192809402942657, 0.23646977543830872, 0.3472713828086853]","[0.021606791764497757, 0.17378507554531097, 0.08470496535301208, 0.17362907528877258, 0.2703810930252075, 0.2758930027484894]",5
967,967,5,3,"[0.008379830978810787, 0.13166813552379608, 0.10918135941028595, 0.2570037841796875, 0.1812467724084854, 0.3125201463699341]","[0.023632926866412163, 0.21941518783569336, 0.16977658867835999, 0.22295457124710083, 0.17569242417812347, 0.18852826952934265]",4
968,968,5,5,"[0.018042825162410736, 0.16204769909381866, 0.09671005606651306, 0.21917784214019775, 0.20905588567256927, 0.2949656844139099]","[0.019617153331637383, 0.22049738466739655, 0.07405968755483627, 0.17891819775104523, 0.23739062249660492, 0.2695170044898987]",1
969,969,5,1,"[0.04501882940530777, 0.19888260960578918, 0.09016003459692001, 0.22176311910152435, 0.1610378473997116, 0.28313758969306946]","[0.19789113104343414, 0.3297503590583801, 0.17628437280654907, 0.14536620676517487, 0.07278468459844589, 0.07792320102453232]",2
970,970,5,5,"[0.016989875584840775, 0.10073097795248032, 0.09945861995220184, 0.2682780623435974, 0.24479374289512634, 0.269748717546463]","[0.005311238579452038, 0.09959898889064789, 0.033232711255550385, 0.14886701107025146, 0.32586848735809326, 0.3871215581893921]",1
971,971,0,0,"[0.3662034571170807, 0.22022761404514313, 0.11214103549718857, 0.10518928617238998, 0.0755816325545311, 0.12065697461366653]","[0.47583362460136414, 0.2258802354335785, 0.11840378493070602, 0.09951256960630417, 0.04765169322490692, 0.03271815553307533]",0
972,972,5,0,"[0.19289249181747437, 0.21305446326732635, 0.09587947279214859, 0.12771348655223846, 0.11136707663536072, 0.2590930163860321]","[0.2511020302772522, 0.21049098670482635, 0.1905340552330017, 0.16677026450634003, 0.09997198730707169, 0.0811307355761528]",2
973,973,5,5,"[0.038160838186740875, 0.1687830537557602, 0.12101364135742188, 0.16692905128002167, 0.1528017222881317, 0.3523116409778595]","[0.04547392204403877, 0.2349873036146164, 0.07591673731803894, 0.13362093269824982, 0.18898026645183563, 0.32102081179618835]",2
974,974,5,3,"[0.03988467529416084, 0.1890251487493515, 0.12066050618886948, 0.19267286360263824, 0.15474578738212585, 0.3030109405517578]","[0.033344388008117676, 0.2017887681722641, 0.2146868258714676, 0.2580128014087677, 0.1532398909330368, 0.13892731070518494]",3
975,975,1,1,"[0.044855035841464996, 0.2712433636188507, 0.12245222181081772, 0.16425558924674988, 0.1464659869670868, 0.2507278025150299]","[0.0843120738863945, 0.3726031482219696, 0.1793687641620636, 0.20867519080638885, 0.10197699815034866, 0.05306386947631836]",3
976,976,5,4,"[0.014211024157702923, 0.14159609377384186, 0.08767862617969513, 0.20959877967834473, 0.22646436095237732, 0.32045117020606995]","[0.03340379521250725, 0.1902392953634262, 0.11272042244672775, 0.22793252766132355, 0.23049640655517578, 0.20520751178264618]",2
977,977,5,4,"[0.048782460391521454, 0.1981675922870636, 0.1515234410762787, 0.2132808417081833, 0.1570272147655487, 0.23121844232082367]","[0.015770087018609047, 0.13449586927890778, 0.0811791643500328, 0.2169601023197174, 0.3038036525249481, 0.2477911412715912]",5
978,978,5,1,"[0.015915917232632637, 0.16244588792324066, 0.09900490194559097, 0.18495051562786102, 0.22686944901943207, 0.3108133375644684]","[0.09515447914600372, 0.29236146807670593, 0.21589884161949158, 0.18933527171611786, 0.12920410931110382, 0.07804590463638306]",2
979,979,3,1,"[0.011403270997107029, 0.2764543890953064, 0.05940950661897659, 0.3001633882522583, 0.12072844803333282, 0.23184099793434143]","[0.09473663568496704, 0.3225110173225403, 0.19826674461364746, 0.26619771122932434, 0.08320201933383942, 0.03508583828806877]",1
980,980,5,1,"[0.07787569612264633, 0.20158588886260986, 0.11544625461101532, 0.21650880575180054, 0.14686305820941925, 0.2417202740907669]","[0.1965254545211792, 0.2553039789199829, 0.2473255693912506, 0.20926900207996368, 0.06400179117918015, 0.027574211359024048]",3
981,981,5,5,"[0.006052556913346052, 0.08397506177425385, 0.047335490584373474, 0.26280224323272705, 0.26591959595680237, 0.33391496539115906]","[0.003486409317702055, 0.1384819895029068, 0.07091177999973297, 0.19302070140838623, 0.25654321908950806, 0.3375559151172638]",5
982,982,5,2,"[0.03605911508202553, 0.192543163895607, 0.10374552011489868, 0.1734544187784195, 0.1827600598335266, 0.311437726020813]","[0.12587258219718933, 0.24293383955955505, 0.2528899908065796, 0.1838742047548294, 0.1073676347732544, 0.0870618149638176]",2
983,983,5,3,"[0.03199464827775955, 0.19060690701007843, 0.09632457792758942, 0.1687374711036682, 0.2069278508424759, 0.3054085075855255]","[0.04121749475598335, 0.17236503958702087, 0.23443591594696045, 0.26317161321640015, 0.19881294667720795, 0.08999698609113693]",3
984,984,5,5,"[0.027083640918135643, 0.16848208010196686, 0.09670371562242508, 0.16483719646930695, 0.19574961066246033, 0.3471437692642212]","[0.0860801637172699, 0.20664596557617188, 0.14122344553470612, 0.15086811780929565, 0.17557354271411896, 0.23960870504379272]",5
985,985,5,5,"[0.05772045999765396, 0.16031381487846375, 0.14001242816448212, 0.22315676510334015, 0.10946085304021835, 0.3093356788158417]","[0.05481956899166107, 0.19634947180747986, 0.07195725291967392, 0.105636365711689, 0.15565268695354462, 0.41558462381362915]",2
986,986,5,3,"[0.008925080299377441, 0.07330219447612762, 0.08957410603761673, 0.2655946612358093, 0.27593743801116943, 0.28666651248931885]","[0.006458662450313568, 0.0915604904294014, 0.11290617287158966, 0.31054258346557617, 0.28918999433517456, 0.18934211134910583]",3
987,987,1,2,"[0.055470969527959824, 0.26683107018470764, 0.15757648646831512, 0.16109418869018555, 0.12360557913780212, 0.23542168736457825]","[0.04008068889379501, 0.22130759060382843, 0.24822288751602173, 0.2138829380273819, 0.15332485735416412, 0.12318100035190582]",5
988,988,5,3,"[0.0592452809214592, 0.16892164945602417, 0.07988663017749786, 0.17592774331569672, 0.17164871096611023, 0.3443700075149536]","[0.03692929074168205, 0.21724390983581543, 0.17463311553001404, 0.24152904748916626, 0.16966278851032257, 0.16000191867351532]",3
989,989,3,3,"[0.06583035737276077, 0.1329004317522049, 0.12655560672283173, 0.24686171114444733, 0.205043226480484, 0.2228085696697235]","[0.027652952820062637, 0.15151312947273254, 0.13221575319766998, 0.30412015318870544, 0.2349327802658081, 0.14956524968147278]",3
990,990,5,4,"[0.018328221514821053, 0.116158127784729, 0.09904512763023376, 0.239244744181633, 0.23484908044338226, 0.29237470030784607]","[0.01632148027420044, 0.11854998022317886, 0.08941465616226196, 0.20002351701259613, 0.29859986901283264, 0.27709051966667175]",4
991,991,5,4,"[0.013699588365852833, 0.1450202912092209, 0.08030293881893158, 0.19621138274669647, 0.2425573468208313, 0.3222084939479828]","[0.012857237830758095, 0.15623097121715546, 0.09699453413486481, 0.26943477988243103, 0.30867570638656616, 0.15580680966377258]",5
992,992,5,3,"[0.03135119751095772, 0.15485110878944397, 0.11182837933301926, 0.2484828382730484, 0.17611882090568542, 0.27736762166023254]","[0.014362935908138752, 0.17626412212848663, 0.14499163627624512, 0.25339242815971375, 0.19309930503368378, 0.21788954734802246]",2
993,993,3,5,"[0.012280209921300411, 0.1019502729177475, 0.09157145023345947, 0.26990893483161926, 0.26245248317718506, 0.2618366777896881]","[0.02087928168475628, 0.1774826943874359, 0.07623819261789322, 0.20405058562755585, 0.2521554231643677, 0.2691937983036041]",1
994,994,5,1,"[0.014550882391631603, 0.14120276272296906, 0.08049339056015015, 0.20304757356643677, 0.2075783908367157, 0.35312697291374207]","[0.05857175588607788, 0.24441803991794586, 0.17696180939674377, 0.21921414136886597, 0.1713259518146515, 0.12950828671455383]",3
995,995,3,3,"[0.0477534681558609, 0.14682985842227936, 0.1272626668214798, 0.2527509927749634, 0.1875114142894745, 0.23789161443710327]","[0.04513828828930855, 0.2268524020910263, 0.13070212304592133, 0.26716873049736023, 0.206874817609787, 0.12326360493898392]",4
996,996,5,1,"[0.02171907387673855, 0.13423128426074982, 0.10504115372896194, 0.2500518560409546, 0.2053399384021759, 0.28361666202545166]","[0.18909724056720734, 0.3007862865924835, 0.15619689226150513, 0.14636200666427612, 0.09652037918567657, 0.11103727668523788]",0
997,997,5,5,"[0.02211042307317257, 0.12521737813949585, 0.09887848794460297, 0.2325727343559265, 0.21706674993038177, 0.30415424704551697]","[0.008967764675617218, 0.10298457741737366, 0.08117464184761047, 0.18843406438827515, 0.29239344596862793, 0.3260454833507538]",2
998,998,1,1,"[0.1919732689857483, 0.3885229229927063, 0.0922570675611496, 0.09945075958967209, 0.08446775376796722, 0.14332816004753113]","[0.19427208602428436, 0.3320097327232361, 0.19055525958538055, 0.1759614646434784, 0.0753915086388588, 0.03180999681353569]",3
999,999,5,3,"[0.027324510738253593, 0.13898493349552155, 0.0872006043791771, 0.2063487470149994, 0.18666478991508484, 0.35347649455070496]","[0.0062323762103915215, 0.0896199643611908, 0.0930720865726471, 0.30656126141548157, 0.28129974007606506, 0.22321458160877228]",5
1000,1000,5,1,"[0.018803795799613, 0.22625476121902466, 0.08726615458726883, 0.14277036488056183, 0.09769611805677414, 0.4272087514400482]","[0.06196656823158264, 0.28211382031440735, 0.25286489725112915, 0.22580353915691376, 0.10521591454744339, 0.0720352903008461]",2
1001,1001,5,1,"[0.03672812879085541, 0.18636128306388855, 0.12403684109449387, 0.1657552719116211, 0.1611652821302414, 0.3259532153606415]","[0.16236859560012817, 0.2892250418663025, 0.22902625799179077, 0.18127349019050598, 0.08382357656955719, 0.05428308621048927]",2
1002,1002,3,1,"[0.02416142262518406, 0.14643321931362152, 0.15836481750011444, 0.2617066204547882, 0.1666480451822281, 0.24268579483032227]","[0.09856429696083069, 0.287763386964798, 0.221778005361557, 0.18618899583816528, 0.0999939888715744, 0.10571135580539703]",4
1003,1003,5,3,"[0.023080622777342796, 0.15082548558712006, 0.115995854139328, 0.253131240606308, 0.1881829798221588, 0.2687838673591614]","[0.016586171463131905, 0.10888969153165817, 0.15597888827323914, 0.3770238757133484, 0.2205704003572464, 0.12095090746879578]",4
1004,1004,5,1,"[0.025401795282959938, 0.1901019960641861, 0.1002473533153534, 0.2034212350845337, 0.18112464249134064, 0.2997030019760132]","[0.04378308728337288, 0.257771372795105, 0.14228595793247223, 0.22026318311691284, 0.1889834702014923, 0.14691291749477386]",1
1005,1005,5,3,"[0.046917304396629333, 0.17224648594856262, 0.1355002224445343, 0.20060358941555023, 0.1700514853000641, 0.2746809124946594]","[0.054622672498226166, 0.16749902069568634, 0.19756050407886505, 0.22558127343654633, 0.1974814534187317, 0.1572551280260086]",1
1006,1006,5,4,"[0.004543666262179613, 0.05643526837229729, 0.036078859120607376, 0.303981751203537, 0.27468472719192505, 0.3242757022380829]","[0.002783785108476877, 0.10834480822086334, 0.06739767640829086, 0.2502416968345642, 0.32011210918426514, 0.251120001077652]",4
1007,1007,5,4,"[0.02921971306204796, 0.22181811928749084, 0.09359160810709, 0.18385018408298492, 0.18114705383777618, 0.290373295545578]","[0.017157752066850662, 0.18249505758285522, 0.13082990050315857, 0.2337542176246643, 0.24541626870632172, 0.19034676253795624]",2
1008,1008,5,3,"[0.05893291160464287, 0.21251770853996277, 0.09310408681631088, 0.22720500826835632, 0.1590159386396408, 0.24922439455986023]","[0.04489860311150551, 0.21667909622192383, 0.13547778129577637, 0.3276263475418091, 0.1752142310142517, 0.10010398179292679]",3
1009,1009,5,1,"[0.05702424794435501, 0.2129935324192047, 0.08376992493867874, 0.1889265775680542, 0.17758826911449432, 0.2796974778175354]","[0.15898381173610687, 0.33240699768066406, 0.15401828289031982, 0.16259855031967163, 0.0993867814540863, 0.09260551631450653]",1
1010,1010,5,1,"[0.05534932017326355, 0.20633500814437866, 0.11803644150495529, 0.18574324250221252, 0.145300954580307, 0.2892349660396576]","[0.142735093832016, 0.2244689166545868, 0.22040773928165436, 0.20990189909934998, 0.12715114653110504, 0.07533522695302963]",1
1011,1011,5,3,"[0.03619084507226944, 0.19707633554935455, 0.11872842907905579, 0.23869433999061584, 0.13540664315223694, 0.27390339970588684]","[0.07455918192863464, 0.2521499693393707, 0.20834220945835114, 0.2934277355670929, 0.11428306251764297, 0.05723785609006882]",1
1012,1012,4,3,"[0.018474899232387543, 0.1022658571600914, 0.0739743709564209, 0.23570966720581055, 0.285940945148468, 0.2836343050003052]","[0.07767915725708008, 0.19540594518184662, 0.177836611866951, 0.26363134384155273, 0.20232273638248444, 0.08312415331602097]",1
1013,1013,1,1,"[0.030053621158003807, 0.27870213985443115, 0.2315429151058197, 0.16156116127967834, 0.08236113935709, 0.21577903628349304]","[0.0525277815759182, 0.3162599205970764, 0.23346002399921417, 0.2022915482521057, 0.10129478573799133, 0.09416592866182327]",4
1014,1014,5,3,"[0.03429866582155228, 0.13199208676815033, 0.08212587982416153, 0.2157394289970398, 0.20314641296863556, 0.3326975703239441]","[0.15140430629253387, 0.21850529313087463, 0.2496463507413864, 0.2737155556678772, 0.0848684087395668, 0.02186005376279354]",2
1015,1015,5,4,"[0.012699197977781296, 0.11187495291233063, 0.07008471339941025, 0.18626680970191956, 0.23571352660655975, 0.3833608329296112]","[0.0016170920571312308, 0.05265302583575249, 0.02373971976339817, 0.12681421637535095, 0.4106597602367401, 0.3845161497592926]",4
1016,1016,5,5,"[0.02522870898246765, 0.17887698113918304, 0.09979347884654999, 0.20073957741260529, 0.19366079568862915, 0.3017003834247589]","[0.019855642691254616, 0.160539448261261, 0.0632408931851387, 0.16852279007434845, 0.26917585730552673, 0.3186652958393097]",4
1017,1017,1,3,"[0.03791429474949837, 0.2661457657814026, 0.12566661834716797, 0.1982315480709076, 0.14137043058872223, 0.23067131638526917]","[0.038635555654764175, 0.24226230382919312, 0.1760646551847458, 0.2800673544406891, 0.1731763780117035, 0.08979371935129166]",1
1018,1018,5,4,"[0.03488703444600105, 0.19943416118621826, 0.1024952232837677, 0.1951393038034439, 0.21935971081256866, 0.2486845701932907]","[0.021041594445705414, 0.24880197644233704, 0.09230116754770279, 0.21130022406578064, 0.25613275170326233, 0.1704222559928894]",4
1019,1019,5,3,"[0.01271356176584959, 0.08564185351133347, 0.11021596193313599, 0.23991315066814423, 0.2636261582374573, 0.28788936138153076]","[0.007917691022157669, 0.10149432718753815, 0.1332513689994812, 0.29390326142311096, 0.28842735290527344, 0.17500600218772888]",3
1020,1020,5,3,"[0.004610502161085606, 0.108528271317482, 0.08080048114061356, 0.2051122784614563, 0.18461954593658447, 0.41632896661758423]","[0.0196823887526989, 0.22935156524181366, 0.17799468338489532, 0.24031294882297516, 0.1655154973268509, 0.16714288294315338]",3
1021,1021,5,1,"[0.03467622026801109, 0.2118341624736786, 0.1027941033244133, 0.18363720178604126, 0.2062358260154724, 0.26082250475883484]","[0.08007019758224487, 0.3704364001750946, 0.16989381611347198, 0.17405129969120026, 0.11614414304494858, 0.08940420299768448]",4
1022,1022,5,3,"[0.018775496631860733, 0.12660358846187592, 0.08159574121236801, 0.2061621993780136, 0.22239939868450165, 0.344463586807251]","[0.0344693623483181, 0.2290276437997818, 0.16667859256267548, 0.24072451889514923, 0.18564391136169434, 0.14345593750476837]",3
1023,1023,3,5,"[0.020809661597013474, 0.09658778458833694, 0.1176643893122673, 0.2760204076766968, 0.21722011268138885, 0.27169761061668396]","[0.0014761752681806684, 0.03642118349671364, 0.03358316048979759, 0.16129247844219208, 0.34629255533218384, 0.4209344685077667]",5
